# Fractal dim =  1.000 
#           N     G/NpiR0^2            GC    Okuzumi+09     Paszun+09 
 6.362198e+01  8.490365e-01  1.000000e+00  9.843729e-01  7.666382e-01 
 6.724427e+01  8.485999e-01  1.000000e+00  9.792146e-01  7.661239e-01 
 7.107280e+01  8.481804e-01  1.000000e+00  9.740383e-01  7.656098e-01 
 7.511929e+01  8.477775e-01  1.000000e+00  9.688497e-01  7.650961e-01 
 7.939618e+01  8.473907e-01  1.000000e+00  9.636541e-01  7.645828e-01 
 8.391656e+01  8.470193e-01  1.000000e+00  9.584563e-01  7.640698e-01 
 8.869432e+01  8.466628e-01  1.000000e+00  9.532609e-01  7.635571e-01 
 9.374409e+01  8.463208e-01  1.000000e+00  9.480720e-01  7.630448e-01 
 9.908137e+01  8.459926e-01  1.000000e+00  9.428934e-01  7.625328e-01 
 1.047225e+02  8.456778e-01  1.000000e+00  9.377287e-01  7.620212e-01 
 1.106848e+02  8.453758e-01  1.000000e+00  9.325809e-01  7.615099e-01 
 1.169866e+02  8.450863e-01  1.000000e+00  9.274531e-01  7.609990e-01 
 1.236472e+02  8.448088e-01  1.000000e+00  9.223480e-01  7.604884e-01 
 1.306870e+02  8.445428e-01  1.000000e+00  9.172679e-01  7.599781e-01 
 1.381276e+02  8.442879e-01  1.000000e+00  9.122151e-01  7.594682e-01 
 1.459919e+02  8.440436e-01  1.000000e+00  9.071916e-01  7.589586e-01 
 1.543038e+02  8.438096e-01  1.000000e+00  9.021992e-01  7.584494e-01 
 1.630891e+02  8.435854e-01  1.000000e+00  8.972396e-01  7.579405e-01 
 1.723745e+02  8.433707e-01  1.000000e+00  8.923141e-01  7.574320e-01 
 1.821885e+02  8.431651e-01  1.000000e+00  8.874242e-01  7.569238e-01 
 1.925614e+02  8.429683e-01  1.000000e+00  8.825710e-01  7.564159e-01 
 2.035248e+02  8.427799e-01  1.000000e+00  8.777555e-01  7.559084e-01 
 2.151123e+02  8.425995e-01  1.000000e+00  8.729787e-01  7.554012e-01 
 2.273597e+02  8.424269e-01  1.000000e+00  8.682413e-01  7.548943e-01 
 2.403043e+02  8.422617e-01  1.000000e+00  8.635441e-01  7.543878e-01 
 2.539859e+02  8.421037e-01  1.000000e+00  8.588876e-01  7.538817e-01 
 2.684465e+02  8.419525e-01  1.000000e+00  8.542723e-01  7.533758e-01 
 2.837304e+02  8.418079e-01  1.000000e+00  8.496987e-01  7.528704e-01 
 2.998844e+02  8.416696e-01  1.000000e+00  8.451671e-01  7.523652e-01 
 3.169582e+02  8.415373e-01  1.000000e+00  8.406778e-01  7.518604e-01 
 3.350041e+02  8.414108e-01  1.000000e+00  8.362309e-01  7.513559e-01 
 3.540774e+02  8.412899e-01  1.000000e+00  8.318267e-01  7.508518e-01 
 3.742366e+02  8.411743e-01  1.000000e+00  8.274652e-01  7.503480e-01 
 3.955436e+02  8.410637e-01  1.000000e+00  8.231465e-01  7.498446e-01 
 4.180637e+02  8.409581e-01  1.000000e+00  8.188706e-01  7.493414e-01 
 4.418660e+02  8.408572e-01  1.000000e+00  8.146374e-01  7.488387e-01 
 4.670234e+02  8.407607e-01  1.000000e+00  8.104468e-01  7.483362e-01 
 4.936132e+02  8.406685e-01  1.000000e+00  8.062987e-01  7.478341e-01 
 5.217169e+02  8.405804e-01  1.000000e+00  8.021929e-01  7.473324e-01 
 5.514206e+02  8.404963e-01  1.000000e+00  7.981294e-01  7.468309e-01 
 5.828155e+02  8.404159e-01  1.000000e+00  7.941078e-01  7.463298e-01 
 6.159978e+02  8.403392e-01  1.000000e+00  7.901280e-01  7.458291e-01 
 6.510694e+02  8.402659e-01  1.000000e+00  7.861896e-01  7.453287e-01 
 6.881377e+02  8.401958e-01  1.000000e+00  7.822924e-01  7.448286e-01 
 7.273165e+02  8.401290e-01  1.000000e+00  7.784362e-01  7.443288e-01 
 7.687260e+02  8.400652e-01  1.000000e+00  7.746205e-01  7.438294e-01 
 8.124930e+02  8.400042e-01  1.000000e+00  7.708452e-01  7.433303e-01 
 8.587519e+02  8.399460e-01  1.000000e+00  7.671098e-01  7.428316e-01 
 9.076446e+02  8.398905e-01  1.000000e+00  7.634140e-01  7.423332e-01 
 9.593209e+02  8.398375e-01  1.000000e+00  7.597575e-01  7.418351e-01 
 1.013939e+03  8.397869e-01  1.000000e+00  7.561398e-01  7.413373e-01 
 1.071668e+03  8.397386e-01  1.000000e+00  7.525607e-01  7.408399e-01 
 1.132683e+03  8.396925e-01  1.000000e+00  7.490197e-01  7.403429e-01 
 1.197171e+03  8.396485e-01  1.000000e+00  7.455165e-01  7.398461e-01 
 1.265332e+03  8.396065e-01  1.000000e+00  7.420506e-01  7.393497e-01 
 1.337373e+03  8.395665e-01  1.000000e+00  7.386218e-01  7.388536e-01 
 1.413516e+03  8.395283e-01  1.000000e+00  7.352295e-01  7.383579e-01 
 1.493993e+03  8.394919e-01  1.000000e+00  7.318735e-01  7.378625e-01 
 1.579053e+03  8.394571e-01  1.000000e+00  7.285532e-01  7.373674e-01 
 1.668956e+03  8.394240e-01  1.000000e+00  7.252684e-01  7.368727e-01 
 1.763977e+03  8.393923e-01  1.000000e+00  7.220185e-01  7.363783e-01 
 1.864409e+03  8.393622e-01  1.000000e+00  7.188033e-01  7.358842e-01 
 1.970558e+03  8.393334e-01  1.000000e+00  7.156223e-01  7.353904e-01 
 2.082751e+03  8.393060e-01  1.000000e+00  7.124751e-01  7.348970e-01 
 2.201331e+03  8.392799e-01  1.000000e+00  7.093614e-01  7.344039e-01 
 2.326663e+03  8.392549e-01  1.000000e+00  7.062807e-01  7.339112e-01 
 2.459130e+03  8.392311e-01  1.000000e+00  7.032326e-01  7.334187e-01 
 2.599140e+03  8.392085e-01  1.000000e+00  7.002168e-01  7.329267e-01 
 2.747121e+03  8.391869e-01  1.000000e+00  6.972329e-01  7.324349e-01 
 2.903527e+03  8.391663e-01  1.000000e+00  6.942804e-01  7.319435e-01 
 3.068838e+03  8.391466e-01  1.000000e+00  6.913591e-01  7.314523e-01 
 3.243561e+03  8.391279e-01  1.000000e+00  6.884685e-01  7.309616e-01 
 3.428231e+03  8.391101e-01  1.000000e+00  6.856083e-01  7.304711e-01 
 3.623416e+03  8.390931e-01  1.000000e+00  6.827780e-01  7.299810e-01 
 3.829714e+03  8.390769e-01  1.000000e+00  6.799774e-01  7.294912e-01 
 4.047757e+03  8.390615e-01  1.000000e+00  6.772061e-01  7.290018e-01 
 4.278214e+03  8.390467e-01  1.000000e+00  6.744636e-01  7.285126e-01 
 4.521792e+03  8.390327e-01  1.000000e+00  6.717497e-01  7.280238e-01 
 4.779239e+03  8.390194e-01  1.000000e+00  6.690640e-01  7.275354e-01 
