#           N         Chain          BCCA          BPCA
 2.035248e+02  7.720243e-01  5.134558e-01  4.209727e-01
 2.151123e+02  7.715401e-01  5.093894e-01  4.145292e-01
 2.273597e+02  7.710758e-01  5.053728e-01  4.081442e-01
 2.403043e+02  7.706306e-01  5.014057e-01  4.018188e-01
 2.539859e+02  7.702039e-01  4.974881e-01  3.955543e-01
 2.684465e+02  7.697948e-01  4.936195e-01  3.893520e-01
 2.837304e+02  7.694028e-01  4.897998e-01  3.832128e-01
 2.998844e+02  7.690272e-01  4.860285e-01  3.771378e-01
 3.169582e+02  7.686674e-01  4.823053e-01  3.711277e-01
 3.350041e+02  7.683227e-01  4.786299e-01  3.651835e-01
 3.540774e+02  7.679925e-01  4.750019e-01  3.593057e-01
 3.742366e+02  7.676763e-01  4.714209e-01  3.534952e-01
 3.955436e+02  7.673736e-01  4.678863e-01  3.477524e-01
 4.180637e+02  7.670837e-01  4.643979e-01  3.420777e-01
 4.418660e+02  7.668063e-01  4.609551e-01  3.364717e-01
 4.670234e+02  7.665407e-01  4.575575e-01  3.309347e-01
 4.936132e+02  7.662865e-01  4.542046e-01  3.254669e-01
 5.217169e+02  7.660433e-01  4.508958e-01  3.200685e-01
 5.514206e+02  7.658106e-01  4.476308e-01  3.147398e-01
 5.828155e+02  7.655879e-01  4.444090e-01  3.094807e-01
 6.159978e+02  7.653749e-01  4.412299e-01  3.042915e-01
 6.510694e+02  7.651712e-01  4.380930e-01  2.991719e-01
 6.881377e+02  7.649764e-01  4.349977e-01  2.941220e-01
 7.273165e+02  7.647901e-01  4.319435e-01  2.891416e-01
 7.687260e+02  7.646119e-01  4.289300e-01  2.842306e-01
 8.124930e+02  7.644416e-01  4.259565e-01  2.793888e-01
 8.587519e+02  7.642787e-01  4.230226e-01  2.746159e-01
 9.076446e+02  7.641231e-01  4.201278e-01  2.699116e-01
 9.593209e+02  7.639743e-01  4.172714e-01  2.652757e-01
 1.013939e+03  7.638321e-01  4.144530e-01  2.607077e-01
 1.071668e+03  7.636962e-01  4.116720e-01  2.562073e-01
 1.132683e+03  7.635664e-01  4.089280e-01  2.517740e-01
 1.197171e+03  7.634423e-01  4.062204e-01  2.474074e-01
 1.265332e+03  7.633238e-01  4.035486e-01  2.431070e-01
 1.337373e+03  7.632106e-01  4.009122e-01  2.388724e-01
 1.413516e+03  7.631025e-01  3.983107e-01  2.347028e-01
 1.493993e+03  7.629992e-01  3.957435e-01  2.305980e-01
 1.579053e+03  7.629005e-01  3.932101e-01  2.265571e-01
 1.668956e+03  7.628063e-01  3.907101e-01  2.225798e-01
 1.763977e+03  7.627164e-01  3.882429e-01  2.186653e-01
 1.864409e+03  7.626305e-01  3.858080e-01  2.148130e-01
 1.970558e+03  7.625485e-01  3.834050e-01  2.110224e-01
 2.082751e+03  7.624702e-01  3.810334e-01  2.072927e-01
 2.201331e+03  7.623954e-01  3.786928e-01  2.036233e-01
 2.326663e+03  7.623241e-01  3.763825e-01  2.000135e-01
 2.459130e+03  7.622560e-01  3.741022e-01  1.964627e-01
 2.599140e+03  7.621910e-01  3.718514e-01  1.929701e-01
 2.747121e+03  7.621290e-01  3.696297e-01  1.895352e-01
 2.903527e+03  7.620698e-01  3.674366e-01  1.861570e-01
 3.068838e+03  7.620134e-01  3.652716e-01  1.828350e-01
 3.243561e+03  7.619595e-01  3.631344e-01  1.795685e-01
 3.428231e+03  7.619081e-01  3.610245e-01  1.763567e-01
 3.623416e+03  7.618591e-01  3.589414e-01  1.731990e-01
 3.829714e+03  7.618123e-01  3.568848e-01  1.700945e-01
 4.047757e+03  7.617677e-01  3.548543e-01  1.670426e-01
 4.278214e+03  7.617251e-01  3.528493e-01  1.640426e-01
 4.521792e+03  7.616845e-01  3.508697e-01  1.610937e-01
 4.779239e+03  7.616458e-01  3.489148e-01  1.581953e-01
 5.051342e+03  7.616089e-01  3.469845e-01  1.553466e-01
 5.338938e+03  7.615737e-01  3.450782e-01  1.525468e-01
 5.642908e+03  7.615401e-01  3.431955e-01  1.497954e-01
 5.964185e+03  7.615081e-01  3.413363e-01  1.470915e-01
 6.303753e+03  7.614776e-01  3.394999e-01  1.444346e-01
 6.662655e+03  7.614485e-01  3.376862e-01  1.418237e-01
 7.041990e+03  7.614208e-01  3.358947e-01  1.392584e-01
 7.442922e+03  7.613943e-01  3.341251e-01  1.367379e-01
 7.866682e+03  7.613691e-01  3.323771e-01  1.342614e-01
 8.314568e+03  7.613451e-01  3.306503e-01  1.318284e-01
 8.787954e+03  7.613222e-01  3.289444e-01  1.294381e-01
 9.288292e+03  7.613004e-01  3.272591e-01  1.270898e-01
