#           N         Chain          BCCA          BPCA
 2.035248e+02  8.427799e-01  6.185711e-01  4.868843e-01
 2.151123e+02  8.425995e-01  6.162377e-01  4.815553e-01
 2.273597e+02  8.424269e-01  6.139285e-01  4.762469e-01
 2.403043e+02  8.422617e-01  6.116433e-01  4.709599e-01
 2.539859e+02  8.421037e-01  6.093816e-01  4.656949e-01
 2.684465e+02  8.419525e-01  6.071432e-01  4.604526e-01
 2.837304e+02  8.418079e-01  6.049277e-01  4.552338e-01
 2.998844e+02  8.416696e-01  6.027348e-01  4.500390e-01
 3.169582e+02  8.415373e-01  6.005641e-01  4.448690e-01
 3.350041e+02  8.414108e-01  5.984155e-01  4.397243e-01
 3.540774e+02  8.412899e-01  5.962884e-01  4.346056e-01
 3.742366e+02  8.411743e-01  5.941828e-01  4.295136e-01
 3.955436e+02  8.410637e-01  5.920982e-01  4.244488e-01
 4.180637e+02  8.409581e-01  5.900343e-01  4.194117e-01
 4.418660e+02  8.408572e-01  5.879909e-01  4.144031e-01
 4.670234e+02  8.407607e-01  5.859676e-01  4.094233e-01
 4.936132e+02  8.406685e-01  5.839643e-01  4.044731e-01
 5.217169e+02  8.405804e-01  5.819805e-01  3.995529e-01
 5.514206e+02  8.404963e-01  5.800161e-01  3.946632e-01
 5.828155e+02  8.404159e-01  5.780708e-01  3.898046e-01
 6.159978e+02  8.403392e-01  5.761442e-01  3.849775e-01
 6.510694e+02  8.402659e-01  5.742362e-01  3.801823e-01
 6.881377e+02  8.401958e-01  5.723464e-01  3.754197e-01
 7.273165e+02  8.401290e-01  5.704747e-01  3.706899e-01
 7.687260e+02  8.400652e-01  5.686207e-01  3.659935e-01
 8.124930e+02  8.400042e-01  5.667843e-01  3.613308e-01
 8.587519e+02  8.399460e-01  5.649652e-01  3.567022e-01
 9.076446e+02  8.398905e-01  5.631631e-01  3.521082e-01
 9.593209e+02  8.398375e-01  5.613778e-01  3.475490e-01
 1.013939e+03  8.397869e-01  5.596091e-01  3.430251e-01
 1.071668e+03  8.397386e-01  5.578567e-01  3.385367e-01
 1.132683e+03  8.396925e-01  5.561206e-01  3.340842e-01
 1.197171e+03  8.396485e-01  5.544003e-01  3.296678e-01
 1.265332e+03  8.396065e-01  5.526957e-01  3.252880e-01
 1.337373e+03  8.395665e-01  5.510067e-01  3.209448e-01
 1.413516e+03  8.395283e-01  5.493329e-01  3.166387e-01
 1.493993e+03  8.394919e-01  5.476743e-01  3.123697e-01
 1.579053e+03  8.394571e-01  5.460305e-01  3.081382e-01
 1.668956e+03  8.394240e-01  5.444014e-01  3.039444e-01
 1.763977e+03  8.393923e-01  5.427869e-01  2.997884e-01
 1.864409e+03  8.393622e-01  5.411866e-01  2.956703e-01
 1.970558e+03  8.393334e-01  5.396005e-01  2.915905e-01
 2.082751e+03  8.393060e-01  5.380284e-01  2.875490e-01
 2.201331e+03  8.392799e-01  5.364700e-01  2.835459e-01
 2.326663e+03  8.392549e-01  5.349252e-01  2.795814e-01
 2.459130e+03  8.392311e-01  5.333938e-01  2.756556e-01
 2.599140e+03  8.392085e-01  5.318757e-01  2.717685e-01
 2.747121e+03  8.391869e-01  5.303706e-01  2.679203e-01
 2.903527e+03  8.391663e-01  5.288785e-01  2.641109e-01
 3.068838e+03  8.391466e-01  5.273992e-01  2.603405e-01
 3.243561e+03  8.391279e-01  5.259324e-01  2.566090e-01
 3.428231e+03  8.391101e-01  5.244781e-01  2.529165e-01
 3.623416e+03  8.390931e-01  5.230360e-01  2.492629e-01
 3.829714e+03  8.390769e-01  5.216062e-01  2.456484e-01
 4.047757e+03  8.390615e-01  5.201882e-01  2.420728e-01
 4.278214e+03  8.390467e-01  5.187822e-01  2.385361e-01
 4.521792e+03  8.390327e-01  5.173878e-01  2.350383e-01
 4.779239e+03  8.390194e-01  5.160050e-01  2.315793e-01
 5.051342e+03  8.390066e-01  5.146336e-01  2.281591e-01
 5.338938e+03  8.389945e-01  5.132735e-01  2.247775e-01
 5.642908e+03  8.389830e-01  5.119246e-01  2.214346e-01
 5.964185e+03  8.389719e-01  5.105866e-01  2.181301e-01
 6.303753e+03  8.389615e-01  5.092596e-01  2.148639e-01
 6.662655e+03  8.389515e-01  5.079433e-01  2.116361e-01
 7.041990e+03  8.389420e-01  5.066376e-01  2.084463e-01
 7.442922e+03  8.389329e-01  5.053424e-01  2.052946e-01
 7.866682e+03  8.389243e-01  5.040576e-01  2.021806e-01
 8.314568e+03  8.389161e-01  5.027831e-01  1.991043e-01
 8.787954e+03  8.389082e-01  5.015187e-01  1.960656e-01
 9.288292e+03  8.389008e-01  5.002644e-01  1.930641e-01
 9.817117e+03  8.388937e-01  4.990200e-01  1.900998e-01
 1.037605e+04  8.388869e-01  4.977853e-01  1.871725e-01
 1.096681e+04  8.388805e-01  4.965604e-01  1.842819e-01
 1.159120e+04  8.388743e-01  4.953450e-01  1.814279e-01
 1.225114e+04  8.388685e-01  4.941391e-01  1.786101e-01
 1.294865e+04  8.388629e-01  4.929426e-01  1.758285e-01
 1.368587e+04  8.388577e-01  4.917553e-01  1.730828e-01
