#           N         Chain          BCCA          BPCA
 2.035248e+02  8.305439e-01  6.167560e-01  5.096731e-01
 2.151123e+02  8.304477e-01  6.144251e-01  5.044131e-01
 2.273597e+02  8.303567e-01  6.121188e-01  4.991656e-01
 2.403043e+02  8.302705e-01  6.098367e-01  4.939314e-01
 2.539859e+02  8.301888e-01  6.075783e-01  4.887115e-01
 2.684465e+02  8.301116e-01  6.053435e-01  4.835066e-01
 2.837304e+02  8.300385e-01  6.031318e-01  4.783176e-01
 2.998844e+02  8.299693e-01  6.009429e-01  4.731453e-01
 3.169582e+02  8.299037e-01  5.987765e-01  4.679905e-01
 3.350041e+02  8.298417e-01  5.966322e-01  4.628540e-01
 3.540774e+02  8.297831e-01  5.945097e-01  4.577365e-01
 3.742366e+02  8.297275e-01  5.924087e-01  4.526388e-01
 3.955436e+02  8.296750e-01  5.903290e-01  4.475617e-01
 4.180637e+02  8.296252e-01  5.882700e-01  4.425060e-01
 4.418660e+02  8.295781e-01  5.862317e-01  4.374722e-01
 4.670234e+02  8.295336e-01  5.842136e-01  4.324612e-01
 4.936132e+02  8.294914e-01  5.822156e-01  4.274736e-01
 5.217169e+02  8.294515e-01  5.802372e-01  4.225101e-01
 5.514206e+02  8.294137e-01  5.782782e-01  4.175713e-01
 5.828155e+02  8.293780e-01  5.763384e-01  4.126580e-01
 6.159978e+02  8.293441e-01  5.744174e-01  4.077707e-01
 6.510694e+02  8.293121e-01  5.725150e-01  4.029101e-01
 6.881377e+02  8.292818e-01  5.706309e-01  3.980768e-01
 7.273165e+02  8.292532e-01  5.687649e-01  3.932713e-01
 7.687260e+02  8.292261e-01  5.669167e-01  3.884942e-01
 8.124930e+02  8.292004e-01  5.650860e-01  3.837460e-01
 8.587519e+02  8.291761e-01  5.632727e-01  3.790274e-01
 9.076446e+02  8.291531e-01  5.614765e-01  3.743388e-01
 9.593209e+02  8.291314e-01  5.596970e-01  3.696807e-01
 1.013939e+03  8.291108e-01  5.579342e-01  3.650536e-01
 1.071668e+03  8.290913e-01  5.561878e-01  3.604579e-01
