#           N         Chain          BCCA          BPCA
 2.035248e+02  8.495691e-01  6.237861e-01  4.960892e-01
 2.151123e+02  8.495291e-01  6.217172e-01  4.906367e-01
 2.273597e+02  8.494913e-01  6.196640e-01  4.852027e-01
 2.403043e+02  8.494555e-01  6.176265e-01  4.797884e-01
 2.539859e+02  8.494216e-01  6.156044e-01  4.743951e-01
 2.684465e+02  8.493895e-01  6.135978e-01  4.690239e-01
 2.837304e+02  8.493592e-01  6.116064e-01  4.636760e-01
 2.998844e+02  8.493305e-01  6.096302e-01  4.583525e-01
 3.169582e+02  8.493033e-01  6.076690e-01  4.530544e-01
 3.350041e+02  8.492776e-01  6.057228e-01  4.477827e-01
 3.540774e+02  8.492533e-01  6.037914e-01  4.425385e-01
 3.742366e+02  8.492303e-01  6.018747e-01  4.373226e-01
 3.955436e+02  8.492086e-01  5.999725e-01  4.321358e-01
 4.180637e+02  8.491880e-01  5.980849e-01  4.269792e-01
 4.418660e+02  8.491685e-01  5.962116e-01  4.218534e-01
 4.670234e+02  8.491501e-01  5.943526e-01  4.167592e-01
 4.936132e+02  8.491326e-01  5.925077e-01  4.116975e-01
 5.217169e+02  8.491161e-01  5.906769e-01  4.066688e-01
 5.514206e+02  8.491005e-01  5.888600e-01  4.016739e-01
 5.828155e+02  8.490857e-01  5.870570e-01  3.967134e-01
 6.159978e+02  8.490718e-01  5.852676e-01  3.917879e-01
 6.510694e+02  8.490586e-01  5.834919e-01  3.868980e-01
 6.881377e+02  8.490460e-01  5.817297e-01  3.820441e-01
 7.273165e+02  8.490342e-01  5.799810e-01  3.772269e-01
 7.687260e+02  8.490230e-01  5.782455e-01  3.724467e-01
 8.124930e+02  8.490124e-01  5.765233e-01  3.677040e-01
 8.587519e+02  8.490024e-01  5.748141e-01  3.629993e-01
 9.076446e+02  8.489929e-01  5.731180e-01  3.583330e-01
 9.593209e+02  8.489839e-01  5.714348e-01  3.537053e-01
 1.013939e+03  8.489755e-01  5.697643e-01  3.491167e-01
 1.071668e+03  8.489674e-01  5.681067e-01  3.445673e-01
 1.132683e+03  8.489598e-01  5.664616e-01  3.400576e-01
 1.197171e+03  8.489526e-01  5.648290e-01  3.355878e-01
 1.265332e+03  8.489458e-01  5.632089e-01  3.311581e-01
 1.337373e+03  8.489394e-01  5.616011e-01  3.267688e-01
 1.413516e+03  8.489333e-01  5.600056e-01  3.224199e-01
 1.493993e+03  8.489276e-01  5.584222e-01  3.181117e-01
 1.579053e+03  8.489221e-01  5.568508e-01  3.138444e-01
 1.668956e+03  8.489169e-01  5.552914e-01  3.096180e-01
 1.763977e+03  8.489121e-01  5.537439e-01  3.054326e-01
 1.864409e+03  8.489074e-01  5.522082e-01  3.012884e-01
 1.970558e+03  8.489031e-01  5.506841e-01  2.971855e-01
 2.082751e+03  8.488989e-01  5.491717e-01  2.931237e-01
 2.201331e+03  8.488950e-01  5.476707e-01  2.891033e-01
 2.326663e+03  8.488913e-01  5.461812e-01  2.851241e-01
 2.459130e+03  8.488878e-01  5.447030e-01  2.811863e-01
 2.599140e+03  8.488845e-01  5.432361e-01  2.772898e-01
 2.747121e+03  8.488814e-01  5.417804e-01  2.734345e-01
